Patient,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-D7-8570-01A,FALSE,NR,0.84,0.36,0.4,0.25,0,0.21,TRUE,0.84,-1.45,-0.16,-0.01,-0.04
TCGA-D7-8572-01A,FALSE,NR,1.07,0.03,0.46,0.06,0,0.11,FALSE,0.37,1.07,0.06,0.13,-0.01
TCGA-D7-8573-01A,FALSE,R,-0.14,0.04,0.42,-0.1,0,-0.17,FALSE,-0.99,-0.14,0.1,-0.15,0.02
TCGA-D7-8576-01A,FALSE,R,-0.36,-0.14,0.45,-0.14,0,-0.32,FALSE,-0.52,-0.36,-0.04,-0.03,0.02
TCGA-D7-8578-01A,FALSE,NR,1.44,-0.22,0.36,-0.06,0,0.08,FALSE,0.83,1.44,0,0.26,-0.02
TCGA-D7-8579-01A,FALSE,NR,0.11,-0.23,0.49,-0.11,0,-0.06,FALSE,0.86,0.11,-0.14,0.15,0.01
TCGA-D7-A4YU-01A,FALSE,NR,0.44,0.37,0.54,0.23,0,0.36,TRUE,0.44,-0.81,-0.04,-0.06,-0.05
TCGA-D7-A4YX-01A,FALSE,R,-0.63,0.34,0.53,0.21,0,0.3,TRUE,-0.63,-1.18,0.01,-0.14,-0.05
TCGA-D7-A4Z0-01A,FALSE,R,-0.88,-0.14,0.5,-0.08,0,-0.11,FALSE,0.99,-0.88,-0.16,0.05,-0.01
TCGA-D7-A6EV-01A,FALSE,NR,0.52,-0.17,0.57,-0.19,0,-0.46,FALSE,-1.59,0.52,0.14,-0.11,0.04
TCGA-D7-A6EX-01A,FALSE,NR,1.49,-0.1,0.44,-0.17,0,-0.29,FALSE,-0.39,1.49,0.12,0.03,0.07
TCGA-D7-A6EY-01A,FALSE,NR,0.87,0.26,0.65,0.19,0,0.21,TRUE,0.87,-0.76,-0.04,-0.04,-0.07
TCGA-D7-A6EZ-01A,FALSE,R,-0.46,0.4,0.51,0.26,0,0.29,TRUE,-0.46,-0.7,-0.01,-0.05,-0.06
TCGA-D7-A6F0-01A,FALSE,R,-0.44,0.26,0.39,0.1,0,0.01,TRUE,-0.44,0.49,0.07,-0.04,0.05
TCGA-D7-A6F2-01A,FALSE,NR,0.25,0,0.38,0.03,0,0.12,TRUE,0.25,-1.11,-0.09,-0.09,0.02
TCGA-D7-A747-01A,FALSE,NR,0.33,-0.03,0.48,0,0,0.08,FALSE,0.66,0.33,-0.1,0.14,0.03
TCGA-D7-A748-01A,FALSE,NR,0.03,-0.07,0.43,-0.03,0,-0.17,FALSE,0.74,0.03,-0.16,0.21,-0.05
TCGA-D7-A74A-01A,FALSE,R,-0.37,0.02,0.46,-0.01,0,-0.06,FALSE,-1,-0.37,0.07,-0.18,0.04
TCGA-EQ-8122-01A,FALSE,NR,1.91,-0.25,0.35,-0.23,0,-0.41,FALSE,-0.67,1.91,0.15,0.12,0.01
TCGA-F1-6874-01A,FALSE,NR,0.63,0.14,0.62,0.11,0,0.11,TRUE,0.63,-1.49,-0.06,-0.07,-0.08
TCGA-F1-A448-01A,FALSE,R,-0.33,-0.16,0.63,-0.01,0,-0.01,FALSE,0.54,-0.33,-0.07,0.06,-0.04
TCGA-F1-A72C-01A,FALSE,R,-0.1,-0.03,0.44,0.1,0,0.09,TRUE,-0.1,0.4,0.05,0.05,-0.04
TCGA-FP-7735-01A,FALSE,R,-0.08,-0.12,0.32,0.05,0,0.02,FALSE,0.3,-0.08,-0.02,-0.03,0.04
TCGA-FP-7829-01A,FALSE,NR,1.01,-0.27,0.51,-0.3,0,-0.66,FALSE,-0.92,1.01,0.06,0.05,0.05
TCGA-FP-7916-01A,FALSE,NR,1.29,0.31,0.45,0.26,0,0.42,TRUE,1.29,-1.34,-0.15,0.02,-0.08
TCGA-FP-7998-01A,FALSE,NR,1.5,0.48,0.47,0.36,0,0.58,TRUE,1.5,-1.88,-0.19,0.01,-0.11
TCGA-FP-8099-01A,FALSE,NR,0.31,-0.05,0.43,-0.1,0,-0.37,FALSE,-0.09,0.31,0.06,0.02,-0.02
TCGA-FP-8210-01A,FALSE,NR,1.75,0.04,0.49,0.12,0,0.38,TRUE,1.75,-0.16,-0.16,0.15,0
TCGA-FP-8211-01A,FALSE,R,-0.22,-0.02,0.45,0.05,0,0.14,FALSE,-0.37,-0.22,0.05,-0.09,0.01
TCGA-FP-8631-01A,FALSE,NR,1.03,-0.19,0.41,-0.23,0,-0.48,FALSE,-0.57,1.03,0.1,0.05,0.02
TCGA-FP-A4BF-01A,FALSE,NR,0.75,0.37,0.45,0.24,0,0.36,TRUE,0.75,-0.85,-0.08,0.07,-0.11
TCGA-FP-A8CX-01A,FALSE,R,-1.21,-0.01,0.5,-0.04,0,-0.08,FALSE,0.18,-1.21,-0.04,-0.17,0.02
TCGA-FP-A9TM-01A,FALSE,R,-2.29,-0.03,0.48,-0.03,0,-0.04,FALSE,0.15,-2.29,-0.08,-0.29,0.01
TCGA-HF-7132-01A,FALSE,NR,0.93,0.14,0.66,0.16,0,0.27,TRUE,0.93,-1.06,-0.11,-0.05,-0.01
TCGA-HF-7133-01A,FALSE,NR,0.39,0.11,0.44,0.11,0,0.11,TRUE,0.39,-0.07,0.02,0,-0.04
TCGA-HF-7134-01A,FALSE,R,-0.5,-0.13,0.47,-0.1,0,-0.15,FALSE,-0.62,-0.5,0.02,-0.1,0
