"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-IN-A6RS-01A",0.00841059932692335,0,0.0896775014382728,0.180043522967619,0,0.110170786995891,0.116684886048835,0.026110981763357,0.0387781998490095,0.0118580377574247,0,0.014214665408385,0,0.143412786943519,0.0510278535808421,0.099359473966348,0.00296071791357359,0.0323007214001728,0,0.0368775097372319,0,0.0381117549025957,0,0.435346124749041,0.899537241101846
"TCGA-D7-6519-01A",0,0.00810579248109106,0.00689362313250139,0.244077309814029,0,0.091495060699027,0,0.0206575015285237,0.0647213333546947,0,0,0.117658715067786,0.0128938815365959,0.0429302076240453,0.0533509035092848,0.165556319857034,0.0361154053310155,0.011999262410615,0.123544683653756,0,0,0,0,0.26259793545546,0.984871236371728
"TCGA-CG-4440-01A",0,0.0464494097652282,0.0002737907041592,0,0,0.196818770277771,0.062895174088953,0.0394014164994886,0,0.00460808820516094,0.064208590710139,0,0,0.0730516072564106,0.0652638405719329,0.236358106962165,0,0.0378921817059102,0.0182663833454979,0.0131423562620013,0.0301766566806545,0.111193626964527,0,0.323507290972239,0.949421981128353
"TCGA-BR-8487-01A",0,0.0559771805265701,0.0970595552038472,0.0942537870370061,0,0.182247556389007,0.0763672503267015,0.0105593630503891,0.0260304919371421,0.0102556952118774,0,0.0110101066714623,0,0.161191172202726,0.0858583068064126,0.139178206319672,0.0151286581583394,0,0.0339785285270095,0,0,0.000904141631837614,0,0.412246071093288,0.910393231700571
"TCGA-VQ-A94U-01A",0.0402867734191815,0.00144510150309831,0.0437205546576508,0.0793831792330327,0,0.263794907592394,0,0,0.0298396617907186,0,0,0.0640496378948395,0.0184208008101106,0,0.061965174976006,0.211305499076885,0.0836812592070095,0,0.102107449839073,0,0,0,0.01,0.161017364754239,1.01572000554907
"TCGA-CG-5717-01A",0.13108454115952,0.0203213088253015,0.0331772061061989,0.0319283627532319,0,0.256611820386844,0.00238695014164551,0,0.0376736773361874,0,0,0.0505961193887045,0.0529777172729277,0,0.0540791315676841,0.123740310240103,0.0100722699856559,0.0637571516764452,0.0914552875018592,0,0.0011273379789369,0.0390108076787542,0,0.461295184093441,0.888077268741227
"TCGA-HU-8249-01A",0.112767189808611,0,0.0644010515181024,0.119072080843363,0,0.174305949465565,0.135313960901238,0.00965924936265268,0.000480651129371014,0,0.0414570884627864,0.0198804877721529,0,0.13112228342092,0.0724426668130861,0.0314763147836059,0.00277401750172128,0.0464714486805627,0,0.0197811391564103,0,0.0185944203798513,0,0.421879349041544,0.905873600674775
"TCGA-BR-8295-01A",0.179340042493089,0,0.173826697702022,0.128241624827965,0,0.128132984008547,0.0213437507652598,0.0335479374187653,0,0,0,0.0563592347237487,0.0198618115679913,0.0986407214312807,0.00663383571807683,0.0450233697454136,0,0.0294987213326926,0.0795492682651482,0,0,0,0,0.267242491042105,0.985369123614643
"TCGA-BR-7722-01A",0.0105562549053563,0.0477176611574775,0.0621439042503465,0.101232040299002,0,0.187032135496378,0.00911423171574387,0,0.0511718450324545,0,0,0.0526652431238278,0,0.0906979833238373,0.0335092060164985,0.147786358935982,0.062721642216904,0.00794124859074884,0.135710244935443,0,0,0,0,0.393750424986909,0.918569946630964
"TCGA-HU-A4HB-01A",0.182882107370412,0,0.0687409825007016,0.140164039934238,0,0.143472634369838,0.0684642980976599,0.00667919339482909,0.0567845900138967,0,0,0,0,0.046070772744789,0.0557517287409238,0.0787723369036179,0.0441849806941952,0.0137496887258761,0.0942826465090231,0,0,0,0,0.573946135395586,0.831345648919988
