"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"172","TCGA-BR-7957-01A-11D-2201-08",94,1.88,0.27415784926368
"173","TCGA-CG-5724-01A-11D-1600-08",94,1.88,0.27415784926368
"174","TCGA-IN-A6RN-01A-12D-A33T-08",94,1.88,0.27415784926368
"175","TCGA-VQ-A91Q-01A-12D-A410-08",95,1.9,0.278753600952829
"176","TCGA-BR-8686-01A-11D-2394-08",97,1.94,0.287801729930226
"177","TCGA-D7-A747-01A-22D-A33T-08",97,1.94,0.287801729930226
"178","TCGA-HU-A4H6-01A-11D-A25D-08",97,1.94,0.287801729930226
"179","TCGA-IN-A7NT-01A-21D-A34U-08",97,1.94,0.287801729930226
"180","TCGA-RD-A8N1-01A-12D-A364-08",97,1.94,0.287801729930226
"181","TCGA-CG-5725-01A-11D-1600-08",98,1.96,0.292256071356476
"182","TCGA-D7-8579-01A-11D-2340-08",98,1.96,0.292256071356476
"183","TCGA-VQ-A91N-01A-11D-A410-08",98,1.96,0.292256071356476
"184","TCGA-ZQ-A9CR-01A-11D-A397-08",99,1.98,0.296665190261531
"185","TCGA-BR-8381-01A-11D-2394-08",100,2,0.301029995663981
"186","TCGA-CD-8533-01A-11D-2340-08",100,2,0.301029995663981
"187","TCGA-FP-7735-01A-11D-2053-08",100,2,0.301029995663981
"188","TCGA-BR-8588-01A-11D-2394-08",101,2.02,0.305351369446624
"189","TCGA-BR-A4PF-01A-11D-A25D-08",101,2.02,0.305351369446624
"190","TCGA-RD-A8N9-01A-12D-A397-08",101,2.02,0.305351369446624
"191","TCGA-BR-4188-01A-01D-1126-08",102,2.04,0.309630167425899
"192","TCGA-BR-8678-01A-11D-2394-08",103,2.06,0.313867220369153
"193","TCGA-D7-8570-01A-11D-2340-08",103,2.06,0.313867220369153
"194","TCGA-IN-8462-01A-11D-2340-08",103,2.06,0.313867220369153
"195","TCGA-BR-A4QI-01A-12D-A25D-08",104,2.08,0.318063334962762
"196","TCGA-HU-8610-01A-22D-2394-08",104,2.08,0.318063334962762
"197","TCGA-R5-A7O7-01A-11D-A33T-08",104,2.08,0.318063334962762
"198","TCGA-VQ-A8PU-01A-12D-A410-08",104,2.08,0.318063334962762
"199","TCGA-MX-A666-01A-11D-A31L-08",105,2.1,0.322219294733919
