"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"Low.risk","False","False","0.83","-0.07","0.34","-0.22","0.00","-0.46","False","-1.55","0.83","0.10","-0.00","0.04"
"High.risk.82","False","False","0.79","-0.17","0.62","-0.16","0.00","-0.37","False","-0.87","0.79","0.05","0.03","0.04"
"High.risk.88","False","False","0.75","-0.30","0.42","-0.38","0.00","-0.65","False","-1.18","0.75","0.04","-0.04","0.12"
"Low.risk.13","False","False","0.75","0.07","0.75","0.11","0.00","-0.04","False","-0.34","0.75","0.18","-0.01","-0.06"
"Low.risk.84","False","False","0.75","0.37","0.45","0.24","0.00","0.36","True","0.75","-0.85","-0.08","0.07","-0.11"
"High.risk.9","False","False","0.74","-0.01","0.44","0.04","0.00","0.10","True","0.74","1.42","0.06","0.18","-0.03"
"Low.risk.47","False","False","0.73","-0.23","0.34","-0.19","0.00","-0.37","False","-0.23","0.73","0.08","-0.04","0.08"
"Low.risk.12","False","False","0.72","0.31","0.45","0.26","0.00","0.34","True","0.72","-0.45","-0.02","-0.09","0.01"
"High.risk.62","False","False","0.72","0.16","0.47","0.21","0.00","0.42","True","0.72","-0.74","-0.11","-0.00","-0.01"
"High.risk.48","False","False","0.71","-0.13","0.52","-0.10","0.00","0.00","False","0.07","0.71","-0.07","0.12","0.07"
"High.risk.59","False","False","0.71","0.22","0.48","0.21","0.00","0.44","True","0.71","0.39","-0.00","0.13","-0.06"
"High.risk.18","False","False","0.71","0.23","0.46","0.28","0.00","0.45","True","0.71","0.66","0.02","0.14","-0.05"
"Low.risk.11","False","False","0.70","-0.09","0.63","0.10","0.00","0.24","True","0.70","-1.19","-0.11","-0.09","0.02"
"Low.risk.26","False","False","0.70","0.35","0.48","0.25","0.00","0.47","True","0.70","-0.70","-0.08","0.01","-0.04"
"High.risk.53","False","False","0.69","-0.04","0.49","0.03","0.00","0.28","True","0.69","0.65","-0.11","0.21","0.01"
"High.risk.87","False","False","0.68","-0.15","0.46","-0.17","0.00","-0.39","False","-1.32","0.68","0.13","-0.05","0.01"
"Low.risk.40","False","False","0.67","0.34","0.43","0.33","0.00","0.51","True","0.67","-1.04","-0.03","-0.08","-0.05"
"High.risk.112","False","False","0.67","-0.29","0.33","-0.28","0.00","-0.47","False","-0.59","0.67","0.11","-0.06","0.04"
"High.risk","False","False","0.67","-0.19","0.47","-0.23","0.00","-0.46","False","-0.74","0.67","0.06","-0.04","0.08"
"Low.risk.145","False","False","0.66","-0.13","0.37","-0.11","0.00","-0.20","False","-0.56","0.66","0.12","-0.06","0.04"
"Low.risk.149","False","False","0.65","-0.16","0.78","-0.19","0.00","-0.39","False","-1.57","0.65","0.12","-0.12","0.08"
"Low.risk.141","False","False","0.65","-0.41","0.39","-0.30","0.00","-0.49","False","0.45","0.65","-0.06","0.23","-0.06"
"High.risk.163","False","False","0.65","0.06","0.43","0.08","0.00","0.07","True","0.65","-0.46","-0.07","-0.03","0.02"
"Low.risk.21","False","False","0.64","-0.02","0.47","0.02","0.00","0.15","False","-0.64","0.64","0.07","-0.01","0.04"
"Low.risk.133","False","False","0.64","-0.41","0.42","-0.41","0.00","-0.63","False","-0.77","0.64","0.11","-0.08","0.06"
"Low.risk.75","False","False","0.63","0.14","0.62","0.11","0.00","0.11","True","0.63","-1.49","-0.06","-0.07","-0.08"
"High.risk.70","False","False","0.61","0.31","0.50","0.20","0.00","0.43","True","0.61","0.03","-0.11","0.15","-0.04"
"High.risk.12","False","False","0.60","0.13","0.41","0.17","0.00","0.27","True","0.60","0.55","0.01","0.11","-0.03"
"High.risk.40","False","False","0.59","0.18","0.57","0.19","0.00","0.49","True","0.59","-0.39","-0.08","0.02","0.01"
"High.risk.1","False","False","0.58","0.53","0.50","0.35","0.00","0.55","True","0.58","-0.57","-0.04","0.08","-0.13"
"Low.risk.95","False","False","0.58","0.31","0.50","0.22","0.00","0.39","True","0.58","-0.94","-0.02","-0.03","-0.09"
"High.risk.32","False","False","0.58","0.03","0.37","0.07","0.00","0.12","True","0.58","0.93","0.01","0.17","-0.04"
"Low.risk.62","False","False","0.57","0.37","0.47","0.28","0.00","0.36","True","0.57","-1.40","-0.06","-0.08","-0.07"
"Low.risk.25","False","False","0.56","-0.00","0.36","-0.09","0.00","-0.21","False","0.12","0.56","-0.02","0.09","0.03"
"Low.risk.148","False","False","0.56","-0.12","0.39","-0.19","0.00","-0.47","False","-0.47","0.56","0.07","-0.02","0.03"
"High.risk.50","False","False","0.56","-0.16","0.54","-0.15","0.00","-0.07","False","0.58","0.56","-0.09","0.15","0.02"
"High.risk.31","False","False","0.55","-0.15","0.65","-0.03","0.00","0.06","True","0.55","-1.38","-0.14","-0.10","0.04"
"High.risk.172","False","False","0.55","0.07","0.43","0.03","0.00","0.10","False","0.04","0.55","0.01","0.04","0.04"
"Low.risk.156","False","False","0.54","-0.16","0.34","-0.22","0.00","-0.44","False","-0.91","0.54","0.13","-0.09","0.04"
"Low.risk.172","False","False","0.53","0.05","0.33","-0.01","0.00","-0.18","False","-0.61","0.53","0.13","-0.10","0.04"
"Low.risk.70","False","False","0.52","-0.17","0.57","-0.19","0.00","-0.46","False","-1.59","0.52","0.14","-0.11","0.04"
"High.risk.113","False","False","0.52","-0.09","0.42","-0.09","0.00","-0.21","False","0.07","0.52","0.04","-0.00","0.05"
"Low.risk.54","False","False","0.52","0.03","0.53","0.04","0.00","0.04","False","-0.09","0.52","0.02","0.10","-0.03"
"Low.risk.43","False","False","0.51","-0.03","0.41","0.01","0.00","0.11","False","-0.18","0.51","0.11","-0.01","-0.03"
"Low.risk.138","False","False","0.51","0.32","0.55","0.20","0.00","0.28","True","0.51","-1.84","-0.06","-0.18","-0.04"
"Low.risk.65","False","False","0.51","-0.11","0.44","-0.08","0.00","-0.28","False","-0.21","0.51","0.02","0.03","0.03"
"High.risk.83","False","False","0.50","-0.08","0.36","-0.10","0.00","-0.16","False","-0.42","0.50","0.07","-0.03","0.04"
"Low.risk.96","False","False","0.50","0.45","0.51","0.30","0.00","0.48","True","0.50","-2.26","-0.10","-0.14","-0.10"
"Low.risk.157","False","False","0.48","0.07","0.39","0.00","0.00","-0.35","False","-0.45","0.48","0.10","0.01","-0.04"
"Low.risk.171","False","False","0.48","-0.04","0.44","-0.15","0.00","-0.37","False","-0.86","0.48","0.11","0.00","-0.03"
"High.risk.145","False","False","0.48","-0.37","0.61","-0.31","0.00","-0.13","False","-0.42","0.48","-0.03","0.04","0.05"
"Low.risk.128","False","False","0.48","0.14","0.59","0.18","0.00","0.42","True","0.48","-1.31","-0.01","-0.13","-0.07"
"Low.risk.66","False","False","0.47","0.15","0.35","0.03","0.00","0.06","False","-0.52","0.47","0.06","0.00","0.01"
"High.risk.114","False","False","0.47","-0.25","0.41","-0.07","0.00","-0.35","False","1.00","0.47","-0.02","0.11","-0.01"
"High.risk.167","False","False","0.47","0.10","0.40","0.09","0.00","0.15","True","0.47","0.32","-0.07","0.17","-0.04"
"High.risk.94","False","False","0.47","0.02","0.55","0.02","0.00","0.11","True","0.47","-0.78","-0.08","-0.02","-0.02"
"High.risk.61","False","False","0.46","0.11","0.38","0.06","0.00","0.20","True","0.46","0.45","0.01","0.09","-0.02"
"Low.risk.127","False","False","0.45","0.01","0.43","0.07","0.00","-0.05","False","0.51","0.45","0.04","0.05","-0.02"
"Low.risk.136","False","False","0.44","-0.08","0.47","0.00","0.00","0.05","True","0.44","-1.49","-0.12","-0.01","-0.10"
"High.risk.146","False","False","0.44","-0.47","0.60","-0.49","0.00","-0.64","False","-0.49","0.44","0.00","0.03","0.04"
"High.risk.119","False","False","0.44","0.37","0.54","0.23","0.00","0.36","True","0.44","-0.81","-0.04","-0.06","-0.05"
"High.risk.25","False","False","0.43","-0.18","0.64","-0.01","0.00","0.21","False","1.07","0.43","-0.11","0.17","0.01"
"High.risk.19","False","False","0.43","-0.29","0.58","-0.11","0.00","0.05","True","0.43","-0.81","-0.11","-0.01","0.00"
"Low.risk.35","False","False","0.43","0.30","0.41","0.18","0.00","0.32","True","0.43","-0.65","-0.01","0.00","-0.07"
"High.risk.151","False","False","0.43","-0.27","0.39","-0.16","0.00","-0.23","False","-0.06","0.43","0.12","-0.15","0.09"
"Low.risk.177","False","False","0.43","-0.09","0.56","-0.19","0.00","-0.46","False","-1.41","0.43","0.15","-0.09","-0.01"
"Low.risk.27","False","False","0.42","0.21","0.69","0.10","0.00","-0.12","False","0.06","0.42","0.06","0.10","-0.09"
"High.risk.90","False","False","0.42","0.03","0.57","-0.05","0.00","-0.18","False","-0.76","0.42","0.08","-0.04","0.01"
"High.risk.15","False","False","0.42","0.22","0.45","0.18","0.00","0.25","True","0.42","0.22","0.03","0.02","-0.02"
"Low.risk.44","False","False","0.41","-0.11","0.54","-0.16","0.00","-0.23","False","-1.29","0.41","0.08","-0.00","-0.00"
"Low.risk.41","False","False","0.41","0.08","0.35","0.14","0.00","0.23","True","0.41","0.28","0.08","0.00","-0.05"
"High.risk.78","False","False","0.39","-0.13","0.40","-0.10","0.00","-0.34","False","-0.03","0.39","0.04","0.03","-0.01"
"Low.risk.87","False","False","0.39","0.11","0.44","0.11","0.00","0.11","True","0.39","-0.07","0.02","0.00","-0.04"
"High.risk.159","False","False","0.39","-0.06","0.43","0.03","0.00","0.12","True","0.39","0.02","0.03","-0.09","0.05"
"High.risk.2","False","False","0.37","-0.12","0.52","0.00","0.00","0.12","True","0.37","0.50","-0.13","0.24","-0.02"
"High.risk.132","False","False","0.36","-0.29","0.70","-0.10","0.00","0.07","True","0.36","-1.57","-0.14","-0.13","0.04"
"High.risk.147","False","False","0.33","-0.32","0.57","-0.28","0.00","-0.32","False","0.12","0.33","-0.04","0.07","0.01"
"Low.risk.135","False","False","0.33","0.11","0.65","0.21","0.00","0.32","True","0.33","-1.99","-0.05","-0.18","-0.08"
"High.risk.123","False","False","0.33","-0.03","0.48","-0.00","0.00","0.08","False","0.66","0.33","-0.10","0.14","0.03"
"Low.risk.81","False","False","0.31","-0.05","0.43","-0.10","0.00","-0.37","False","-0.09","0.31","0.06","0.02","-0.02"
"High.risk.55","False","False","0.30","0.02","0.55","0.05","0.00","0.25","True","0.30","0.15","-0.06","0.10","-0.02"
"Low.risk.90","False","False","0.30","0.25","0.67","0.15","0.00","0.29","True","0.30","-0.51","0.09","-0.09","-0.07"
"Low.risk.131","False","False","0.28","0.30","0.48","0.18","0.00","0.09","True","0.28","-1.75","-0.11","-0.13","-0.02"
"Low.risk.119","False","False","0.28","-0.06","0.46","-0.13","0.00","-0.26","False","0.37","0.28","-0.01","0.07","-0.01"
"High.risk.157","False","False","0.28","0.05","0.40","0.08","0.00","0.17","True","0.28","0.78","-0.07","0.22","-0.02"
"High.risk.153","False","False","0.27","0.20","0.40","0.12","0.00","-0.00","False","0.32","0.27","-0.02","0.12","-0.07"
"High.risk.5","False","False","0.25","0.26","0.66","0.22","0.00","0.25","True","0.25","-0.26","-0.08","0.16","-0.12"
"Low.risk.73","False","False","0.25","-0.00","0.38","0.03","0.00","0.12","True","0.25","-1.11","-0.09","-0.09","0.02"
"Low.risk.176","False","False","0.25","-0.20","0.37","-0.16","0.00","-0.38","False","-0.94","0.25","0.08","-0.06","0.03"
"High.risk.37","False","False","0.23","0.09","0.48","0.06","0.00","0.08","True","0.23","0.63","0.05","0.07","-0.01"
"Low.risk.9","False","False","0.23","0.07","0.68","0.09","0.00","-0.10","False","0.73","0.23","0.02","0.07","-0.05"
"High.risk.3","False","False","0.22","0.14","0.44","0.14","0.00","0.19","True","0.22","-1.61","-0.19","-0.02","-0.03"
"Low.risk.114","False","False","0.21","0.01","0.40","-0.09","0.00","-0.18","False","-0.95","0.21","0.06","-0.10","0.06"
"High.risk.102","False","False","0.21","-0.16","0.71","-0.14","0.00","-0.35","False","-1.06","0.21","0.12","-0.17","0.07"
"High.risk.139","False","False","0.20","-0.51","0.64","-0.39","0.00","-0.15","False","-0.24","0.20","-0.01","-0.01","0.05"
"High.risk.76","False","False","0.20","0.10","0.35","0.03","0.00","0.17","True","0.20","1.24","0.05","0.16","-0.02"
"High.risk.80","False","False","0.19","-0.10","0.43","-0.04","0.00","0.08","True","0.19","1.41","0.01","0.19","0.01"
